Number,Name
1,www.huffingtonpost.com
2,cnn.com
3,www.time.com
4,www.ted.com
5,pandodaily.com
6,www.cnbc.com
7,www.mlb.com
8,www.pcmag.com
9,www.foxnews.com
10,theatlantic.com
11,www.bbc.co.uk
12,www.vice.com
13,www.elle.com
14,www.vh1.com
15,espnf1.com
16,espn.com
17,www.npr.org
18,www.sfgate.com
19,www.glamour.com
20,www.whosdatedwho.com
21,kotaku.com
22,thebostonchannel.com
23,www.suntimes.com
24,www.businessinsider.com
25,www.rivals.com
26,thebusinessjournal.com
27,www.newrepublic.com
28,allthingsd.com
29,www.topgear.com
30,thecitizen.com
31,www.ign.com
32,www.sci-news.com
33,www.morningstar.com
34,www.variety.com
35,thebottomline.as.ucsb.edu
36,www.gamefaqs.com
37,blog.searchenginewatch.com
38,thedailyfairfield.com
39,www.solarnovus.com
40,medicalxpress.com
41,www.news.com.au
42,www.health.com
43,www.computerandvideogames.com
44,wsj.com
45,www.allure.com
46,www.theinsider.com
47,cnet.com
48,venturebeat.com
49,www.topspeed.com
50,thedailyworld.com
51,games.com
52,www.religionnews.com
53,blogs.berkeley.edu
54,www.sbnation.com
55,www.polygon.com
56,nytimes.com
57,www.thefrisky.com
58,telegram.com
59,yahoo.com
60,www.nbcnews.com
61,thedailypage.com
62,www.popsci.com
63,www.pbs.org
64,www.nasa.gov
65,www.guardiannews.com
66,www.weather.com
67,www.gq.com
68,www.etonline.com
69,telegraph.co.uk
70,www.fastcompany.com
71,www.infoworld.com
72,www.wired.com
73,www.pcgamer.com
74,sportingnews.com
75,theatlanticwire.com
76,thecarconnection.com
77,www.sun-sentinel.com
78,autoblog.com
79,www.environmentalleader.com
80,thecrimson.com
81,thecypresstimes.com
82,www.dailyfinance.com
83,www.politico.com
84,newsroom.fb.com
85,news.ycombinator.com
86,lifehacker.com
87,www.bet.com
88,independent.co.uk
89,www.mlssoccer.com
90,www.bodybuilding.com
91,www.cosmopolitan.com
92,www.apple.com
93,www.autonews.com
94,www.eonline.com
95,www.vanityfair.com
96,techdigest.tv
97,www.maximumpc.com
98,www.techradar.com
99,thedailyjournal.com
100,www.mlive.com
101,techworld.com.au
102,www.techmeme.com
103,thedailynewsegypt.com
104,thedailygrind.com.au
105,techcrunch.com
106,tehrantimes.com
107,www.hollywoodreporter.com
108,thedailysound.com
109,www.stltoday.com
110,deadspin.com
111,www.digitaltrends.com
112,seattletimes.com
113,seattlepi.com
114,www.cleveland.com
115,heritage.org
116,www.today.com
117,www.politifact.com
118,zdnet.com
119,www.nationalenquirer.com
120,egotastic.com
121,blogs.creativeloafing.com
122,townhall.com
123,www.eweek.com
124,www.vogue.co.uk
125,www.teenvogue.com
126,www.nypost.com
127,www.reuters.com
128,www.scientificamerican.com
129,www.miamiherald.com
130,www.nydailynews.com
131,www.newscientist.com
132,bigstory.ap.org
133,www.ebony.com
134,thedailystar.com
135,www.technologyreview.com
136,www.theverge.com
137,www.nba.com
138,www.cbssports.com
139,betabeat.com
140,www.tmz.com
141,tcnewsnet.com
142,www.latimes.com
143,www.c-span.org
144,www.style.com
145,www.peoplestylewatch.com
146,theboot.com
147,www.foxbusiness.com
148,www.pcworld.com
149,washingtontimes.com
150,thedailyreview.com
151,www.nfl.com
152,www.space.com
153,washingtontechnology.com
154,www.buzzfeed.com
155,inquirer.net
156,www.maxim.com
157,abcnews.com
158,www.extremetech.com
159,thedailytimes.com
160,mashable.com
161,washingtonexaminer.com
162,www.bhg.com
163,tech.mit.edu
164,hotair.com
165,www.1up.com
166,www.cbc.ca
167,gawker.com
168,celebuzz.com
169,sciencemag.org
170,www.rollingstone.com
171,slashdot.org
172,www.slate.com
173,bleacherreport.com
174,www.nascar.com
175,www.forbes.com
176,washingtonpost.com
177,nymag.com
178,www.microsoft.com
179,hbr.org
180,www.ft.com
181,www.dailymail.co.uk
182,www.theautochannel.com
183,g4tv.com
184,www.aljazeera.com
185,politicker.com
186,nbcsports.nbc.com
187,www.gamespot.com
188,news.sky.com
189,www.joystiq.com
190,www.escapistmagazine.com
191,www.thestreet.com
192,www.ew.com
193,www.nj.com
194,msn.com
195,thedailyreporter.com
196,www.economist.com
197,phys.org
198,www.glam.com
199,perezhilton.com
200,www.usmagazine.com
201,aol.com
202,www.cbsnews.com
203,www.tennis.com
204,washingtonian.com
205,www.sciencedaily.com
206,foxsports.com
207,www.popularmechanics.com
208,www.macworld.com
209,thinkprogress.org
210,www.mtv.com
211,discovery.com
212,www.people.com
213,thedailybeast.com
214,www.hollywood.com
215,medium.com
216,www.engadget.com
217,www.usnews.com
218,www.billboard.com
219,nationalgeographic.com
220,www.purseblog.com
221,www.giantbomb.com
222,www.automobilemag.com
223,thechronicle.com.au
224,tbnweekly.com
225,techreport.com
226,thedailyfix.com
227,www.animenewsnetwork.com
228,www.realclearpolitics.com
229,usatoday.com
230,www.techspot.com
231,discovermagazine.com
232,arstechnica.com
233,foreignpolicy.com
234,www.redstate.com
235,www.marketwatch.com
236,www.eurogamer.net
237,cbn.com
238,www.parade.com
239,www.bbcamerica.com
240,washingtonindependent.com
241,drudgereport.com
242,beta.na.leagueoflegends.com
